# gpu-monitor (python, per-sample flush) start
2026/06/23 18:51:34.531, 54, 100 %, 141.71 W, 32014 MiB, 32607 MiB
2026/06/23 18:51:49.585, 51, 100 %, 131.62 W, 32014 MiB, 32607 MiB
2026/06/23 18:52:04.625, 51, 100 %, 145.02 W, 32014 MiB, 32607 MiB
2026/06/23 18:52:19.680, 51, 100 %, 135.33 W, 32014 MiB, 32607 MiB
2026/06/23 18:52:34.718, 51, 100 %, 133.24 W, 32014 MiB, 32607 MiB
2026/06/23 18:52:49.755, 51, 100 %, 133.29 W, 32014 MiB, 32607 MiB
2026/06/23 18:53:04.802, 51, 100 %, 143.98 W, 32014 MiB, 32607 MiB
2026/06/23 18:53:19.847, 51, 100 %, 137.74 W, 32014 MiB, 32607 MiB
2026/06/23 18:53:34.897, 50, 100 %, 131.62 W, 32014 MiB, 32607 MiB
2026/06/23 18:53:49.951, 51, 100 %, 137.22 W, 32014 MiB, 32607 MiB
2026/06/23 18:54:05.001, 51, 100 %, 132.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:54:20.044, 51, 100 %, 126.59 W, 32014 MiB, 32607 MiB
2026/06/23 18:54:35.100, 51, 100 %, 137.97 W, 32014 MiB, 32607 MiB
2026/06/23 18:54:50.160, 51, 100 %, 146.61 W, 32014 MiB, 32607 MiB
2026/06/23 18:55:05.200, 51, 100 %, 134.32 W, 32014 MiB, 32607 MiB
2026/06/23 18:55:20.248, 51, 100 %, 132.63 W, 32014 MiB, 32607 MiB
2026/06/23 18:55:35.291, 51, 100 %, 130.70 W, 32014 MiB, 32607 MiB
2026/06/23 18:55:50.336, 51, 100 %, 146.52 W, 32014 MiB, 32607 MiB
2026/06/23 18:56:05.382, 52, 100 %, 131.38 W, 32014 MiB, 32607 MiB
2026/06/23 18:56:20.427, 52, 100 %, 145.62 W, 32014 MiB, 32607 MiB
2026/06/23 18:56:35.471, 51, 100 %, 138.15 W, 32014 MiB, 32607 MiB
2026/06/23 18:56:50.524, 51, 100 %, 131.93 W, 32014 MiB, 32607 MiB
2026/06/23 18:57:05.568, 51, 100 %, 129.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:57:20.618, 51, 100 %, 137.08 W, 32014 MiB, 32607 MiB
2026/06/23 18:57:35.666, 51, 100 %, 146.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:57:50.713, 51, 100 %, 136.51 W, 32014 MiB, 32607 MiB
2026/06/23 18:58:05.760, 51, 100 %, 133.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:58:20.811, 52, 100 %, 146.35 W, 32014 MiB, 32607 MiB
2026/06/23 18:58:35.862, 52, 100 %, 137.04 W, 32014 MiB, 32607 MiB
2026/06/23 18:58:50.913, 52, 100 %, 136.28 W, 32014 MiB, 32607 MiB
2026/06/23 18:59:05.957, 51, 100 %, 128.47 W, 32014 MiB, 32607 MiB
2026/06/23 18:59:20.996, 52, 100 %, 146.41 W, 32014 MiB, 32607 MiB
2026/06/23 18:59:36.033, 51, 100 %, 137.07 W, 32014 MiB, 32607 MiB
2026/06/23 18:59:51.080, 51, 100 %, 133.86 W, 32014 MiB, 32607 MiB
