vol	page	tier	kind	margin_words	head	tail	joined	margin_text
production-1863-64	222	HYPHEN	blankgap	0	im	provements	improvements	
production-1863-64	224	HYPHEN	blankgap	0	col	lecting	collecting	
production-1863-64	228	HYPHEN	margin	44	con	tracted	contracted	force unless the same shall be signed by all three of said Com | missioners and countersigned by the Secretary of the Board | and no obligation or contract of any kind whatsoever involv | ing an expenditure of money shall ever be entered into or con
production-1863-64	233	HYPHEN	blankgap	0	superin	tendent	superintendent	
production-1863-64	234	HYPHEN	blankgap	0	dis	trict	district	
production-1863-64	239	HYPHEN	blankgap	0	con	formity	conformity	
production-1863-64	239	HYPHEN	blankgap	0	com	pletion	completion	
production-1863-64	247	HYPHEN	margin	12	ex	aminers	examiners	empted from the provisions of an Act creating a Board of Ex
production-1863-64	248	HYPHEN	blankgap	0	incor	porate	incorporate	
production-1863-64	265	HYPHEN	blankgap	0	com	mencement	commencement	
production-1863-64	267	HYPHEN	blankgap	0	attor	ney	attorney	
production-1863-64	267	HYPHEN	blankgap	0	dis	trict	district	
production-1863-64	267	HYPHEN	blankgap	0	com	menced	commenced	
production-1863-64	285	HYPHEN	blankgap	0	com	pletion	completion	
production-1863-64	285	HYPHEN	blankgap	0	su	pervisors	supervisors	
production-1863-64	285	HYPHEN	blankgap	0	men	tioned	mentioned	
production-1863-64	285	HYPHEN	blankgap	0	ex	penses	expenses	
production-1863-64	293	HYPHEN	margin	45	dis	tricts	districts	Tobepaid trict The County Superintendent shall pay for such subscrip | or choo tions an amount not exceeding one dollar per annum for each | Fund district by drawing his warrant payable out of the County | School Fund before such Fund is apportioned to the various dis
production-1863-64	311	HYPHEN	blankgap	0	tuol	umne	tuolumne	
production-1863-64	314	HYPHEN	blankgap	0	dis	trict	district	
